x,y,z,class
75.431,85.302,6.17,ground
71.189,20.288,4.69,ground
29.64,77.44,4.788,ground
39.023,79.422,5.088,ground
84.236,89.785,6.473,ground
80.58,28.537,5.154,ground
15.091,95.558,4.819,ground
42.324,27.451,14.321,canopy
10.581,70.118,3.448,ground
42.98,13.238,3.496,ground
73.34,83.542,6.099,ground
36.502,2.442,2.997,ground
95.128,89.072,6.982,ground
30.284,13.74,3.41,ground
42.309,78.102,4.935,ground
16.009,61.319,3.639,ground
70.196,67.862,18.588,canopy
83.106,75.21,5.94,ground
24.05,18.756,2.636,ground
31.268,54.343,14.834,canopy
19.519,0.303,2.519,ground
4.407,10.959,2.237,ground
64.322,66.797,20.672,canopy
68.821,38.875,18.624,canopy
96.55,20.563,5.487,ground
72.557,14.55,4.306,ground
32.902,44.921,13.827,canopy
6.647,21.327,3.016,ground
90.951,38.845,5.822,ground
64.554,96.447,6.192,ground
55.416,14.78,4.144,ground
74.059,18.152,4.449,ground
11.135,69.319,13.994,canopy
18.74,57.265,13.77,canopy
6.419,8.847,2.014,ground
76.41,80.017,6.231,ground
73.98,88.312,5.918,ground
39.246,24.452,3.881,ground
3.233,17.665,14.386,canopy
94.238,33.153,5.631,ground
95.636,68.286,6.249,ground
27.851,71.235,3.756,ground
84.656,1.476,4.501,ground
2.424,78.91,3.7,ground
24.052,36.055,13.971,canopy
51.246,69.425,18.787,canopy
45.358,34.633,4.048,ground
74.45,83.614,16.87,canopy
47.431,52.874,18.866,canopy
72.212,57.826,19.378,canopy
60.677,80.935,18.919,canopy
7.12,44.459,3.201,ground
12.647,1.37,2.364,ground
96.982,12.515,5.259,ground
69.525,67.299,18.249,canopy
47.99,7.656,3.363,ground
70.995,44.666,17.499,canopy
80.845,36.25,16.082,canopy
22.591,84.641,4.515,ground
66.738,41.726,17.911,canopy
90.228,58.754,6.108,ground
95.645,30.684,5.621,ground
52.666,73.813,19.035,canopy
21.379,92.58,4.45,ground
72.36,19.376,4.291,ground
65.934,62.052,20.705,canopy
68.655,45.662,18.375,canopy
2.599,69.598,2.929,ground
7.713,50.189,3.176,ground
22.875,60.179,15.363,canopy
91.695,49.841,15.47,canopy
43.16,90.59,5.003,ground
38.893,26.752,3.624,ground
28.519,28.829,3.111,ground
30.072,21.07,3.474,ground
39.061,36.696,14.928,canopy
56.159,87.617,5.473,ground
97.817,73.561,6.775,ground
49.175,98.556,5.486,ground
85.658,16.278,4.711,ground
83.412,66.5,5.542,ground
2.759,6.355,14.406,canopy
92.65,12.172,4.772,ground
60.376,93.45,5.632,ground
17.835,92.419,4.381,ground
39.389,19.171,3.66,ground
52.57,56.123,18.811,canopy
94.504,79.785,6.754,ground
57.848,91.174,5.2,ground
72.369,17.856,15.019,canopy
16.48,93.313,4.381,ground
68.77,49.396,19.259,canopy
3.502,21.612,13.506,canopy
30.472,34.183,14.21,canopy
87.813,74.579,6.232,ground
71.884,39.645,16.473,canopy
61.794,65.072,19.109,canopy
31.402,6.901,2.942,ground
39.884,57.176,15.164,canopy
95.552,0.01,4.534,ground
97.147,3.161,5.309,ground
52.981,46.824,19.323,canopy
16.601,13.616,2.677,ground
46.425,36.057,17.131,canopy
89.304,60.013,5.941,ground
93.518,3.873,4.692,ground
97.424,66.496,6.05,ground
43.4,28.818,16.021,canopy
70.886,42.012,19.077,canopy
18.765,24.579,3.165,ground
91.851,77.814,6.582,ground
69.104,98.746,6.459,ground
67.235,55.47,18.752,canopy
28.758,76.857,4.01,ground
12.799,24.084,2.636,ground
42.461,30.17,14.121,canopy
44.167,8.925,3.357,ground
72.146,43.234,17.358,canopy
42.992,38.433,17.669,canopy
85.33,7.847,5.081,ground
53.754,44.313,21.255,canopy
17.046,0.964,12.656,canopy
57.358,4.861,3.792,ground
60.189,71.854,18.531,canopy
26.221,23.974,3.655,ground
52.48,88.719,5.546,ground
63.056,8.153,4.231,ground
71.977,78.957,5.811,ground
29.059,33.583,13.959,canopy
25.109,64.164,15.449,canopy
8.681,25.948,14.673,canopy
88.38,50.931,16.886,canopy
18.65,20.954,12.889,canopy
10.911,26.755,2.845,ground
54.774,3.098,3.042,ground
83.381,70.918,17.255,canopy
58.977,9.931,4.048,ground
57.233,0.738,4.009,ground
83.542,13.902,4.92,ground
66.459,10.905,4.715,ground
32.184,85.426,4.716,ground
19.853,14.608,13.268,canopy
1.966,35.568,3.106,ground
6.923,40.265,2.862,ground
3.779,57.061,2.727,ground
5.616,55.212,3.014,ground
60.238,8.664,4.066,ground
4.371,1.269,2.191,ground
97.301,36.622,5.815,ground
37.894,3.577,3.235,ground
22.107,16.348,13.539,canopy
54.726,34.753,15.535,canopy
68.135,30.158,15.552,canopy
84.839,69.556,16.827,canopy
51.645,36.4,17.032,canopy
36.946,2.601,3.185,ground
94.061,11.999,5.621,ground
4.632,4.334,11.739,canopy
82.177,44.568,17.396,canopy
5.94,66.593,3.628,ground
89.737,66.319,6.058,ground
4.525,74.587,3.757,ground
7.857,97.675,4.1,ground
31.484,26.397,3.4,ground
40.83,82.159,15.103,canopy
90.839,88.914,6.721,ground
29.543,5.33,2.663,ground
65.319,64.166,19.391,canopy
8.943,84.419,4.434,ground
57.674,17.994,3.579,ground
0.489,4.311,1.737,ground
21.52,8.877,2.844,ground
28.214,13.803,2.907,ground
54.122,98.043,15.599,canopy
34.344,8.266,3.281,ground
99.856,52.081,5.847,ground
33.257,73.333,4.604,ground
8.846,71.396,3.965,ground
91.498,59.797,6.081,ground
18.405,21.932,2.772,ground
86.891,83.433,6.485,ground
31.312,74.806,4.398,ground
55.996,62.592,20.954,canopy
71.444,88.233,6.502,ground
7.119,30.525,2.457,ground
47.194,80.06,16.411,canopy
35.514,57.451,16.872,canopy
10.347,46.88,3.332,ground
99.219,74.089,7.042,ground
56.223,31.854,16.523,canopy
74.59,89.594,6.042,ground
93.686,86.768,6.12,ground
52.489,82.216,4.867,ground
56.384,58.581,20.663,canopy
47.012,50.415,18.7,canopy
56.669,50.658,18.691,canopy
64.367,42.962,17.496,canopy
1.507,1.514,14.369,canopy
14.058,93.238,4.526,ground
70.912,60.534,20.149,canopy
44.568,96.32,4.855,ground
85.554,84.226,5.722,ground
47.435,60.72,19.348,canopy
46.996,39.238,16.638,canopy
37.292,40.346,14.777,canopy
30.504,74.45,4.687,ground
16.221,85.659,4.425,ground
58.139,99.553,5.538,ground
51.157,39.779,18.369,canopy
48.864,23.225,3.85,ground
2.092,62.216,3.518,ground
19.787,71.643,15.65,canopy
22.779,10.668,13.89,canopy
39.72,31.242,16.145,canopy
9.855,10.061,2.487,ground
86.997,19.632,5.318,ground
45.352,96.346,5.908,ground
96.329,92.139,6.81,ground
8.955,47.794,3.886,ground
43.058,80.592,5.331,ground
49.006,55.487,21.847,canopy
30.589,89.269,4.594,ground
61.371,5.355,3.94,ground
15.04,21.678,2.754,ground
97.676,81.538,6.163,ground
47.506,53.243,20.402,canopy
18.998,35.655,2.996,ground
55.511,75.284,15.689,canopy
55.167,92.894,5.251,ground
79.474,2.299,4.788,ground
78.129,9.177,4.444,ground
31.316,69.481,4.452,ground
10.482,10.251,2.568,ground
99.356,8.774,5.123,ground
45.551,39.322,16.236,canopy
80.329,29.695,16.261,canopy
43.131,94.904,5.461,ground
62.035,0.934,4.191,ground
40.738,37.568,14.578,canopy
16.985,5.495,12.532,canopy
95.178,15.209,5.926,ground
99.591,17.228,5.403,ground
46.41,88.175,5.131,ground
44.63,32.59,13.934,canopy
85.35,21.693,15.319,canopy
1.025,62.164,3.317,ground
25.258,58.682,16.574,canopy
27.405,42.714,3.577,ground
32.324,70.444,4.478,ground
36.761,56.564,18.996,canopy
92.282,66.271,5.823,ground
4.457,12.175,2.51,ground
2.364,32.337,13.038,canopy
2.895,21.398,12.546,canopy
56.851,88.164,5.172,ground
23.882,61.984,4.029,ground
61.361,56.85,18.136,canopy
64.555,83.38,16.358,canopy
50.067,89.431,5.42,ground
27.234,94.403,4.677,ground
18.325,24.741,3.598,ground
82.572,75.654,16.553,canopy
84.254,92.002,6.458,ground
9.429,12.715,2.462,ground
14.423,95.139,4.286,ground
61.32,14.667,3.614,ground
91.18,80.132,6.207,ground
50.03,53.638,20.971,canopy
80.7,59.723,5.825,ground
10.339,27.691,2.561,ground
10.759,10.488,13.201,canopy
87.762,10.02,4.855,ground
93.434,14.417,4.629,ground
12.84,21.213,13.01,canopy
56.398,51.52,20.258,canopy
27.295,77.349,4.384,ground
13.852,48.651,3.695,ground
81.7,73.39,16.111,canopy
66.828,18.228,4.384,ground
7.502,44.237,3.352,ground
92.237,67.388,6.36,ground
54.341,29.099,16.864,canopy
96.476,25.911,5.163,ground
94.656,87.59,6.745,ground
6.976,0.201,2.521,ground
65.848,55.883,21.191,canopy
52.904,40.126,18.577,canopy
26.938,85.554,4.34,ground
78.748,37.978,5.751,ground
49.428,46.706,17.547,canopy
37.672,24.837,3.901,ground
99.285,73.487,6.342,ground
52.026,8.126,3.455,ground
12.534,60.608,3.464,ground
28.529,55.354,4.37,ground
64.56,6.912,13.535,canopy
12.834,37.73,3.443,ground
8.53,88.033,3.877,ground
25.396,87.743,4.866,ground
32.468,71.714,4.29,ground
67.217,3.343,4.3,ground
30.077,93.657,4.732,ground
96.948,24.913,5.731,ground
51.356,62.135,18.657,canopy
49.465,57.056,16.842,canopy
45.101,62.293,16.46,canopy
96.434,87.672,6.999,ground
54.189,86.015,5.662,ground
98.425,23.046,5.518,ground
2.319,47.632,3.092,ground
93.926,84.591,6.617,ground
33.72,42.793,14.169,canopy
26.292,68.944,4.447,ground
68.99,33.697,16.413,canopy
27.996,99.99,4.929,ground
25.805,80.921,4.229,ground
21.685,96.452,4.703,ground
93.246,23.405,5.088,ground
29.816,83.197,4.074,ground
42.316,95.347,5.217,ground
45.234,45.699,17.705,canopy
61.559,54.936,17.627,canopy
55.65,93.43,5.516,ground
90.282,12.416,5.248,ground
41.368,94.754,5.157,ground
13.622,21.649,3.161,ground
51.686,8.802,3.775,ground
31.801,18.554,14.012,canopy
88.983,81.127,6.609,ground
16.63,53.854,13.63,canopy
1.431,90.759,4.265,ground
67.18,89.472,5.65,ground
74.487,5.572,4.178,ground
66.61,39.344,17.949,canopy
88.9,73.962,6.023,ground
23.855,83.004,4.538,ground
12.992,5.387,2.382,ground
53.77,46.939,21.143,canopy
20.588,58.347,3.788,ground
21.218,80.132,4.222,ground
62.562,60.174,19.423,canopy
5.913,91.328,3.847,ground
26.428,25.598,3.433,ground
35.104,47.201,17.506,canopy
10.996,85.846,3.716,ground
63.013,41.314,17.996,canopy
70.892,26.699,16.321,canopy
84.693,36.13,5.599,ground
33.363,66.034,14.367,canopy
44.541,54.929,18.006,canopy
37.802,13.627,3.643,ground
81.435,34.612,15.405,canopy
49.887,78.349,16.269,canopy
80.903,83.925,6.115,ground
35.813,90.194,5.111,ground
8.707,94.429,4.165,ground
57.536,26.343,16.376,canopy
91.923,61.967,15.951,canopy
58.401,54.47,21.695,canopy
45.247,54.288,19.583,canopy
24.747,69.311,4.32,ground
68.806,12.556,4.332,ground
28.417,4.219,2.477,ground
37.308,25.921,13.859,canopy
56.385,45.259,20.664,canopy
95.999,34.735,5.657,ground
90.781,50.557,6.282,ground
88.007,88.63,6.632,ground
98.886,90.47,6.582,ground
52.082,71.835,17.18,canopy
86.414,51.321,16.434,canopy
0.639,99.19,4.0,ground
26.443,6.847,2.936,ground
13.846,82.199,13.819,canopy
11.716,92.543,4.388,ground
40.877,36.78,15.256,canopy
42.325,2.308,3.577,ground
17.813,27.964,2.991,ground
5.03,97.411,4.3,ground
56.358,92.327,15.563,canopy
79.431,69.512,5.684,ground
11.482,65.522,3.463,ground
86.874,53.987,5.517,ground
22.552,92.085,4.164,ground
64.461,23.317,4.178,ground
42.281,14.274,13.891,canopy
40.544,57.524,16.711,canopy
44.14,75.184,15.137,canopy
49.416,17.537,3.289,ground
26.811,25.48,14.218,canopy
12.704,62.663,3.939,ground
85.697,67.842,5.421,ground
8.039,17.42,12.886,canopy
78.592,4.228,4.221,ground
9.143,17.646,2.813,ground
97.002,6.647,4.952,ground
77.552,37.445,4.593,ground
35.278,19.775,3.451,ground
18.632,76.362,4.398,ground
20.768,85.49,4.077,ground
65.377,9.969,4.397,ground
32.167,52.664,16.096,canopy
65.185,27.35,15.609,canopy
1.057,42.162,3.373,ground
51.035,86.986,5.378,ground
73.173,31.795,15.769,canopy
95.305,98.444,6.523,ground
70.917,17.464,4.5,ground
26.824,65.099,3.931,ground
92.839,43.386,5.81,ground
0.369,76.105,3.319,ground
46.572,39.868,17.408,canopy
66.544,56.353,18.688,canopy
20.906,91.62,4.255,ground
60.78,45.666,19.435,canopy
65.578,8.65,4.107,ground
82.857,29.952,5.479,ground
54.62,88.589,5.725,ground
52.667,28.731,15.659,canopy
80.531,62.601,17.436,canopy
45.397,31.604,17.311,canopy
57.226,24.496,15.036,canopy
65.609,83.928,6.215,ground
85.334,9.947,4.694,ground
49.525,75.718,4.94,ground
36.832,42.291,4.111,ground
27.999,94.142,4.726,ground
29.79,33.204,3.418,ground
65.047,90.777,5.764,ground
40.209,39.628,16.225,canopy
32.598,98.177,5.137,ground
97.245,72.21,6.126,ground
31.492,48.464,4.11,ground
50.334,81.273,15.358,canopy
87.04,2.351,4.267,ground
16.516,53.468,3.305,ground
23.145,30.686,2.99,ground
69.777,56.883,18.338,canopy
16.054,47.029,13.882,canopy
75.67,44.694,18.342,canopy
12.697,47.339,13.201,canopy
58.226,75.363,17.006,canopy
82.788,78.953,6.238,ground
40.656,68.756,14.342,canopy
33.169,85.906,4.85,ground
50.547,47.254,19.43,canopy
2.732,18.144,13.222,canopy
25.726,96.472,4.942,ground
20.626,12.341,13.29,canopy
51.429,81.138,14.896,canopy
98.702,75.102,6.327,ground
46.572,61.109,17.894,canopy
70.423,54.723,17.977,canopy
22.305,4.389,2.827,ground
83.949,3.339,4.001,ground
87.633,75.516,6.229,ground
6.63,40.812,3.267,ground
5.766,39.959,2.697,ground
44.918,79.566,15.565,canopy
98.928,93.96,6.975,ground
42.338,67.836,16.908,canopy
19.09,25.119,14.084,canopy
38.159,51.3,18.564,canopy
90.35,42.715,5.332,ground
50.725,22.332,14.946,canopy
77.143,74.759,5.498,ground
46.285,49.572,17.411,canopy
62.971,76.169,16.185,canopy
30.669,83.528,4.774,ground
59.499,94.018,6.217,ground
11.329,51.11,3.294,ground
5.238,80.843,3.616,ground
5.221,30.348,2.687,ground
19.242,17.144,3.628,ground
94.526,57.502,6.297,ground
36.166,4.564,2.578,ground
65.581,90.182,5.615,ground
18.339,69.671,4.129,ground
9.962,5.505,2.875,ground
20.947,66.438,14.709,canopy
48.484,10.401,4.049,ground
27.636,98.355,4.204,ground
50.195,31.768,14.979,canopy
91.217,21.829,4.865,ground
74.796,16.677,4.473,ground
17.792,28.358,14.155,canopy
52.604,41.712,17.395,canopy
96.862,72.928,6.763,ground
59.152,48.939,18.742,canopy
10.705,94.443,4.077,ground
78.063,0.358,3.882,ground
56.854,52.074,19.419,canopy
84.56,0.846,4.79,ground
81.918,85.519,5.851,ground
28.355,76.203,15.171,canopy
62.285,94.49,5.963,ground
12.327,28.841,15.768,canopy
81.146,96.862,6.066,ground
91.898,61.855,6.605,ground
49.912,41.319,16.563,canopy
47.867,19.126,3.636,ground
3.677,85.254,14.275,canopy
27.672,36.647,3.961,ground
64.125,90.578,5.787,ground
93.525,89.289,6.209,ground
22.058,98.42,4.544,ground
65.964,49.966,19.878,canopy
18.471,7.708,12.579,canopy
22.269,18.541,2.95,ground
90.999,5.747,4.34,ground
70.664,38.023,19.078,canopy
91.856,59.736,5.657,ground
21.651,76.061,4.044,ground
67.609,84.645,16.884,canopy
96.452,87.053,6.579,ground
93.552,93.667,6.865,ground
62.852,35.521,18.441,canopy
31.837,78.705,15.128,canopy
19.224,12.005,12.724,canopy
1.676,84.612,3.994,ground
31.432,22.386,3.59,ground
60.8,31.304,14.875,canopy
9.664,49.039,2.892,ground
64.68,37.409,16.965,canopy
33.172,10.344,13.524,canopy
73.972,38.844,17.668,canopy
24.09,42.994,3.684,ground
33.879,61.021,16.055,canopy
20.88,4.887,3.034,ground
11.508,50.046,3.555,ground
74.712,98.441,6.371,ground
98.407,88.562,6.464,ground
62.187,54.058,21.361,canopy
38.522,56.117,15.948,canopy
22.141,18.002,3.206,ground
34.041,65.153,17.277,canopy
38.674,95.158,5.279,ground
98.255,84.782,6.57,ground
50.254,55.541,21.237,canopy
66.108,60.952,19.569,canopy
55.691,76.992,16.226,canopy
91.829,82.957,6.759,ground
87.935,22.149,5.47,ground
97.206,51.749,5.63,ground
94.203,48.484,5.753,ground
74.05,24.286,15.408,canopy
73.152,78.913,6.071,ground
74.633,88.17,6.316,ground
11.277,69.753,3.21,ground
49.795,88.594,5.736,ground
78.287,11.864,4.557,ground
16.742,85.687,3.91,ground
13.368,90.18,4.099,ground
40.829,71.77,18.839,canopy
22.819,91.986,4.682,ground
32.174,19.053,3.105,ground
60.028,25.495,16.125,canopy
47.092,61.574,18.253,canopy
79.649,89.928,6.188,ground
42.887,87.949,4.96,ground
16.685,93.048,4.61,ground
66.086,82.974,16.894,canopy
11.145,99.945,4.731,ground
75.301,44.586,18.428,canopy
46.531,54.252,16.648,canopy
79.692,79.148,6.008,ground
27.074,33.429,3.805,ground
10.63,23.825,3.154,ground
43.602,64.338,16.382,canopy
1.032,4.632,1.773,ground
32.623,74.556,4.673,ground
97.323,22.272,5.34,ground
21.614,42.806,3.724,ground
48.235,1.236,3.22,ground
66.582,94.51,5.67,ground
69.783,78.18,16.659,canopy
97.476,23.077,4.948,ground
41.572,30.614,15.986,canopy
91.458,37.355,5.328,ground
96.606,18.18,5.525,ground
91.229,1.008,4.658,ground
34.427,92.132,4.972,ground
5.547,56.54,2.957,ground
46.956,43.499,18.795,canopy
36.969,57.088,15.774,canopy
5.995,72.271,3.965,ground
22.979,39.281,3.228,ground
79.523,97.901,5.876,ground
87.998,20.635,5.055,ground
81.911,89.43,5.978,ground
36.319,37.11,3.875,ground
9.082,35.478,2.646,ground
9.011,58.434,3.474,ground
31.633,27.125,15.089,canopy
99.517,6.289,4.66,ground
58.925,93.934,5.692,ground
32.163,84.616,4.742,ground
19.459,40.373,13.461,canopy
33.064,15.926,3.539,ground
15.083,39.046,3.554,ground
25.904,2.715,3.183,ground
57.066,59.975,17.085,canopy
87.533,85.92,6.651,ground
40.121,71.523,16.25,canopy
79.338,56.941,18.802,canopy
12.469,27.353,2.999,ground
56.158,2.789,3.722,ground
49.171,80.154,4.976,ground
58.316,62.447,20.136,canopy
22.824,83.379,4.872,ground
96.439,26.462,4.658,ground
85.371,34.896,5.404,ground
96.311,97.565,6.775,ground
18.911,9.406,2.937,ground
31.939,30.066,16.919,canopy
83.647,87.284,6.138,ground
63.747,25.048,4.658,ground
77.199,69.89,18.957,canopy
44.033,57.907,17.673,canopy
97.118,23.844,4.986,ground
60.781,98.416,5.746,ground
11.593,87.137,4.267,ground
59.731,50.061,18.535,canopy
97.543,38.37,5.793,ground
36.752,30.711,4.076,ground
47.283,9.01,3.517,ground
95.395,70.105,6.679,ground
2.468,54.464,3.221,ground
41.441,37.225,14.738,canopy
3.352,9.987,13.079,canopy
10.625,72.903,3.73,ground
55.764,35.096,18.094,canopy
59.548,16.605,4.478,ground
3.317,87.235,3.869,ground
59.741,56.129,20.514,canopy
37.01,52.463,15.257,canopy
81.851,39.115,5.607,ground
64.785,82.415,5.737,ground
95.331,99.286,6.968,ground
73.793,53.242,18.679,canopy
33.562,79.921,4.624,ground
47.633,78.753,5.301,ground
59.992,95.349,5.78,ground
10.89,54.52,3.185,ground
38.317,84.377,4.432,ground
14.268,45.77,3.24,ground
40.308,78.528,15.579,canopy
49.658,82.696,15.971,canopy
15.873,86.52,4.382,ground
6.963,23.318,2.691,ground
60.467,6.605,3.83,ground
25.815,35.639,13.27,canopy
44.775,44.375,16.577,canopy
91.748,35.13,5.809,ground
63.965,21.942,5.076,ground
64.926,31.369,15.109,canopy
93.928,17.72,5.182,ground
28.484,4.587,3.327,ground
85.779,24.73,4.626,ground
59.34,38.037,18.585,canopy
41.836,79.947,14.91,canopy
41.47,1.9,3.493,ground
33.644,63.358,15.849,canopy
27.602,64.486,4.121,ground
94.617,33.695,15.389,canopy
16.702,85.139,4.28,ground
12.291,72.743,3.363,ground
22.441,70.785,15.272,canopy
81.941,77.256,5.936,ground
17.26,68.371,4.031,ground
48.756,81.969,5.409,ground
41.21,16.691,3.634,ground
24.891,83.51,3.988,ground
4.439,12.787,13.398,canopy
33.932,94.021,4.394,ground
8.849,36.576,3.29,ground
76.861,41.478,19.217,canopy
88.063,82.848,6.37,ground
70.039,3.774,3.943,ground
28.373,72.044,4.148,ground
89.855,62.51,5.929,ground
19.401,66.347,16.254,canopy
15.553,1.749,2.747,ground
77.38,29.634,15.665,canopy
14.499,85.404,3.901,ground
63.563,71.043,18.536,canopy
98.548,70.584,6.072,ground
7.24,22.05,12.802,canopy
61.52,6.468,4.068,ground
19.715,82.903,3.645,ground
0.709,97.194,4.088,ground
76.508,47.75,16.237,canopy
74.713,95.481,6.269,ground
16.746,9.61,2.735,ground
76.119,73.411,5.771,ground
86.419,34.22,5.423,ground
79.51,31.424,15.137,canopy
58.527,84.517,5.414,ground
16.924,30.374,2.988,ground
62.325,77.378,16.63,canopy
79.119,3.986,4.065,ground
23.033,96.113,14.949,canopy
3.619,31.968,2.704,ground
9.303,24.292,13.501,canopy
14.147,12.402,2.63,ground
33.859,55.955,15.016,canopy
78.963,82.805,6.456,ground
5.522,36.917,2.955,ground
48.882,20.728,4.004,ground
43.958,73.157,17.908,canopy
94.845,74.137,6.779,ground
54.286,65.759,16.486,canopy
10.218,74.931,4.046,ground
49.779,61.33,18.447,canopy
4.132,90.825,4.149,ground
35.931,68.498,17.87,canopy
8.672,23.297,2.968,ground
90.341,92.365,6.102,ground
25.037,33.461,14.149,canopy
12.413,94.113,4.084,ground
51.328,36.627,18.723,canopy
2.366,59.701,3.236,ground
38.681,20.171,3.483,ground
84.509,60.855,16.451,canopy
80.631,80.582,5.889,ground
91.961,93.701,6.581,ground
77.903,44.61,15.975,canopy
23.611,2.189,3.557,ground
61.36,37.127,17.945,canopy
58.132,33.425,14.158,canopy
17.685,16.428,2.999,ground
36.384,40.991,16.069,canopy
53.738,96.117,6.056,ground
44.619,17.36,14.226,canopy
82.246,48.342,17.695,canopy
41.74,97.402,4.793,ground
45.309,85.283,16.116,canopy
64.238,59.835,21.497,canopy
42.671,48.221,19.265,canopy
77.63,41.064,5.414,ground
39.467,8.883,3.686,ground
94.525,3.994,5.05,ground
96.293,89.664,6.721,ground
98.575,52.861,5.915,ground
76.147,92.619,5.704,ground
63.24,26.617,4.762,ground
57.756,7.087,3.527,ground
81.128,13.973,4.793,ground
1.423,52.888,3.33,ground
88.287,41.511,5.661,ground
85.636,91.043,6.234,ground
80.717,15.287,4.345,ground
37.154,42.242,14.14,canopy
78.602,64.709,16.79,canopy
99.886,68.734,6.168,ground
6.784,53.739,3.488,ground
23.554,98.013,4.749,ground
90.093,85.58,6.136,ground
75.989,28.71,15.397,canopy
66.485,84.788,6.246,ground
65.632,94.458,6.086,ground
10.616,20.563,14.68,canopy
99.579,99.642,7.062,ground
4.608,84.729,3.831,ground
31.199,85.081,4.659,ground
7.137,64.118,3.783,ground
57.389,54.287,19.829,canopy
99.088,25.119,5.427,ground
88.757,83.184,6.056,ground
18.423,72.605,4.118,ground
89.839,79.41,6.412,ground
80.371,74.049,16.377,canopy
30.696,25.554,3.83,ground
31.759,24.46,3.937,ground
94.01,35.601,5.738,ground
44.339,11.938,3.38,ground
33.754,39.881,14.573,canopy
13.112,56.232,13.844,canopy
87.226,47.564,5.138,ground
82.694,45.142,16.622,canopy
22.161,96.204,4.13,ground
5.341,99.184,3.225,ground
47.679,91.003,5.384,ground
12.655,19.503,12.453,canopy
76.958,50.512,19.006,canopy
44.308,57.668,18.329,canopy
22.182,67.667,4.107,ground
24.298,50.488,15.707,canopy
69.467,28.847,15.885,canopy
83.393,86.357,5.507,ground
66.009,2.396,3.792,ground
49.22,96.565,5.724,ground
52.367,95.396,5.243,ground
72.961,8.926,4.622,ground
70.829,41.308,14.796,canopy
11.16,25.483,3.44,ground
57.975,20.268,4.017,ground
81.754,42.503,16.327,canopy
27.281,66.559,4.231,ground
17.615,38.084,14.02,canopy
6.919,90.48,4.537,ground
86.653,13.811,4.975,ground
1.057,29.104,14.014,canopy
0.245,30.87,13.493,canopy
24.251,59.195,14.578,canopy
77.16,13.673,4.133,ground
8.113,89.708,4.634,ground
53.027,10.903,3.938,ground
15.876,54.61,14.724,canopy
3.72,25.59,2.687,ground
92.91,51.309,6.032,ground
2.019,29.651,2.482,ground
27.189,90.706,4.488,ground
57.689,91.524,5.704,ground
26.061,16.818,2.975,ground
19.275,67.277,3.626,ground
92.582,82.333,6.134,ground
53.552,20.131,4.154,ground
9.624,13.111,2.477,ground
8.352,44.658,13.641,canopy
74.667,4.028,4.403,ground
37.324,13.625,2.778,ground
20.871,17.361,3.026,ground
45.088,83.974,14.481,canopy
23.51,27.064,14.52,canopy
22.59,90.266,4.138,ground
46.947,20.372,3.475,ground
85.494,28.871,5.053,ground
75.045,97.447,6.29,ground
33.8,77.291,4.173,ground
65.735,20.347,4.53,ground
67.982,94.551,5.538,ground
